observatoryName,baseDate,averageTemperature,lowestTemperature,lowestTemperatureTime,highestTemperature,highestTemperatureTime,dailyRainfall,maximumWindSpeed,maximumWindSpeedTime,averageWindSpeed,maximumWindSpeedDirection
중문,20190101,5.0,3.8,9.0,8.0,1151.0,0.0,11.3,1643.0,3.0,311.9
서광,20190101,4.4,3.2,1941.0,7.6,1159.0,0.0,13.8,2053.0,4.8,334.7
어리목,20190101,-3.9,-5.0,2033.0,-3.1,1256.0,0.0,6.4,2009.0,1.3,105.0
대정,20190101,4.8,4.1,1847.0,7.2,1250.0,0.0,12.8,1627.0,6.0,335.4
외도,20190101,3.3,2.1,623.0,4.8,1336.0,0.0,11.1,1340.0,4.3,330.7
영실,20190101,-5.8,-7.0,2036.0,-1.1,21.0,0.0,10.8,546.0,3.9,303.8
마라도,20190101,6.8,6.0,1950.0,7.9,1342.0,0.0,17.7,1704.0,11.2,349.4
제주남원,20190101,5.7,4.1,2243.0,8.7,1242.0,0.0,12.8,1617.0,5.4,5.7
월정,20190101,6.0,4.9,1448.0,7.0,432.0,0.0,18.5,2003.0,9.7,337.6
진달래밭,20190101,-6.8,-7.8,2034.0,-3.6,126.0,0.0,,,,
대흘,20190102,3.4,2.6,507.0,4.7,1400.0,0.0,11.5,452.0,4.6,326.3
마라도,20190102,6.6,5.4,1058.0,7.7,1515.0,0.0,15.8,103.0,10.5,343.4
구좌,20190102,4.4,3.6,429.0,6.0,1345.0,0.0,13.3,1413.0,6.9,325.8
대정,20190102,4.6,4.1,2322.0,6.9,1119.0,0.0,10.9,225.0,4.8,323.9
월정,20190102,5.6,4.7,537.0,6.9,1352.0,0.0,17.1,132.0,8.5,343.7
진달래밭,20190102,-7.0,-8.4,2139.0,-4.9,1233.0,0.0,,,,
새별오름,20190102,0.5,0.0,543.0,1.4,1108.0,0.0,16.7,4.0,7.1,67.5
서광,20190102,3.7,3.0,2327.0,5.0,1255.0,0.0,12.2,6.0,3.5,342.7
어리목,20190102,-4.5,-6.3,2238.0,-3.3,1453.0,0.0,6.6,38.0,1.6,69.9
제주남원,20190102,5.1,3.6,2253.0,8.1,1140.0,0.0,11.2,205.0,5.1,350.7
대흘,20190103,3.3,1.7,2315.0,5.9,1505.0,0.0,7.9,328.0,3.3,340.3
어리목,20190103,-3.1,-6.4,2137.0,4.1,1437.0,0.0,4.8,848.0,1.0,69.4
제주남원,20190103,5.6,-0.1,2315.0,12.4,1241.0,0.0,12.5,832.0,3.5,9.3
월정,20190103,5.0,2.3,2205.0,8.0,1430.0,0.0,14.9,425.0,5.1,335.6
진달래밭,20190103,-3.2,-8.6,2358.0,2.1,1133.0,0.0,10.4,222.0,3.3,310.1
대정,20190103,5.2,3.7,632.0,8.2,1504.0,0.0,11.5,1027.0,4.6,95.5
외도,20190103,2.3,-1.9,2315.0,6.0,1530.0,0.0,6.5,936.0,2.1,53.2
새별오름,20190103,1.2,-0.4,733.0,4.1,1449.0,0.0,11.6,1131.0,4.7,78.8
중문,20190103,6.6,3.2,747.0,10.6,1247.0,0.0,11.2,332.0,1.8,338.3
마라도,20190103,7.6,5.2,745.0,9.5,1542.0,0.0,17.2,913.0,9.6,12.8
중문,20190104,8.1,3.6,444.0,11.9,1332.0,1.5,5.4,1224.0,0.8,323.0
대흘,20190104,4.7,1.0,318.0,8.7,1324.0,1.0,6.2,1103.0,2.4,255.9
서광,20190104,5.6,1.0,311.0,10.0,1331.0,1.0,9.7,1740.0,3.0,347.7
제주남원,20190104,7.3,0.0,449.0,12.8,1333.0,1.5,10.9,131.0,1.6,351.8
대정,20190104,6.1,1.9,451.0,10.5,1147.0,0.5,9.2,1609.0,3.3,240.3
외도,20190104,3.6,-2.4,140.0,8.4,1236.0,1.5,4.5,1554.0,1.5,74.6
제주가시리,20190104,7.3,2.8,44.0,11.8,1340.0,2.0,5.2,1227.0,1.2,261.6
마라도,20190104,9.2,7.7,805.0,10.6,1147.0,0.5,13.2,1605.0,7.1,359.6
어리목,20190104,0.5,-6.8,327.0,5.8,954.0,0.0,7.8,1141.0,1.7,237.2
구좌,20190104,5.8,0.7,316.0,10.8,1247.0,0.0,8.5,1457.0,2.9,320.3
대흘,20190105,4.8,2.9,2305.0,7.1,1257.0,0.5,9.5,1613.0,3.3,298.1
마라도,20190105,8.3,7.0,2356.0,9.7,1213.0,0.0,17.8,832.0,11.9,353.5
서광,20190105,5.6,3.4,2106.0,8.5,1310.0,0.5,13.6,526.0,5.6,14.2
제주남원,20190105,8.0,6.7,546.0,10.8,1404.0,1.0,13.2,833.0,5.4,181.3
월정,20190105,7.8,6.4,2345.0,8.9,1220.0,0.0,15.1,1051.0,6.6,216.6
영실,20190105,1.2,-1.7,2023.0,4.1,1009.0,1.5,9.1,1133.0,1.8,50.6
중문,20190105,8.2,4.1,2153.0,12.9,1237.0,1.0,9.2,1253.0,1.4,329.9
어리목,20190105,-1.0,-4.3,2126.0,3.0,1336.0,1.5,6.2,1525.0,1.4,75.3
구좌,20190105,6.8,4.4,2028.0,8.3,1226.0,0.0,12.9,1434.0,6.3,295.9
대정,20190105,6.4,3.4,2138.0,9.6,1229.0,0.5,12.1,1458.0,5.4,356.6
중문,20190106,7.7,3.8,2344.0,13.1,1132.0,0.0,10.3,1654.0,2.0,312.2
구좌,20190106,5.3,4.3,740.0,7.1,1346.0,0.0,14.2,219.0,7.4,320.3
영실,20190106,0.1,-2.6,2147.0,2.0,1135.0,0.0,7.4,1429.0,2.3,329.1
진달래밭,20190106,-1.6,-3.7,2354.0,1.2,1240.0,0.0,10.4,920.0,3.4,299.6
새별오름,20190106,1.3,-0.2,715.0,3.6,1159.0,0.0,12.7,1325.0,6.3,67.5
대흘,20190106,3.6,2.5,2326.0,6.0,1510.0,0.0,8.6,1429.0,3.6,306.6
마라도,20190106,6.9,5.8,552.0,8.0,1215.0,0.0,17.4,811.0,12.2,358.9
서광,20190106,4.3,3.0,704.0,6.8,1137.0,0.0,14.7,419.0,6.2,1.3
어리목,20190106,-3.0,-6.3,2225.0,3.6,1308.0,0.0,5.4,1138.0,1.0,60.2
월정,20190106,6.3,5.1,806.0,7.7,1333.0,0.0,15.0,207.0,6.8,344.2
중문,20190107,8.5,3.8,333.0,13.0,1138.0,0.0,4.9,121.0,1.2,12.0
제주남원,20190107,8.4,4.4,53.0,13.3,1452.0,0.0,7.6,2231.0,3.4,120.7
구좌,20190107,5.8,2.2,212.0,8.4,1424.0,0.0,11.6,1124.0,6.0,301.9
대흘,20190107,4.2,1.5,650.0,6.6,1324.0,0.0,7.3,1308.0,2.9,354.4
서광,20190107,5.4,3.3,746.0,8.9,1335.0,0.0,12.5,1001.0,6.6,4.3
대정,20190107,5.9,3.1,114.0,9.5,1311.0,0.0,11.6,1133.0,5.5,44.4
월정,20190107,7.0,5.5,551.0,8.5,1324.0,0.0,12.2,707.0,5.4,350.2
외도,20190107,4.2,-1.9,714.0,9.0,1412.0,0.0,5.5,1130.0,1.7,10.9
새별오름,20190107,2.1,-0.2,32.0,5.5,1303.0,0.0,11.5,1201.0,5.4,81.6
마라도,20190107,7.9,6.6,715.0,9.8,1308.0,0.0,15.5,429.0,11.0,357.7
마라도,20190108,7.8,6.0,2156.0,9.4,1420.0,0.0,18.1,2358.0,12.1,345.6
